Gattung,GewogenAm,TVD,GewichtBezahlt
650 - SPG Kuhkalb,2017-01-05,120.1327.9406.5,61
650 - SPG Kuhkalb,2017-01-05,120.1327.9407.2,61
640 - SPG Stierkalb,2017-01-06,120.1298.3215.2,54
640 - SPG Stierkalb,2017-01-06,120.1293.6658.9,58
640 - SPG Stierkalb,2017-01-06,120.1292.9552.0,61
640 - SPG Stierkalb,2017-01-06,120.1336.3507.7,64
650 - SPG Kuhkalb,2017-01-06,120.1274.1509.8,66
640 - SPG Stierkalb,2017-01-06,120.1334.9597.8,68
650 - SPG Kuhkalb,2017-01-06,120.1312.7218.2,68
640 - SPG Stierkalb,2017-01-06,120.1241.6346.6,69
640 - SPG Stierkalb,2017-01-06,120.1336.3505.3,69
650 - SPG Kuhkalb,2017-01-06,120.1297.7631.9,69
650 - SPG Kuhkalb,2017-01-06,120.1334.9595.4,69
640 - SPG Stierkalb,2017-01-06,120.1297.7630.2,70
640 - SPG Stierkalb,2017-01-06,120.1326.9463.1,70
640 - SPG Stierkalb,2017-01-06,120.1316.4590.0,70
650 - SPG Kuhkalb,2017-01-06,120.1291.0386.3,70
640 - SPG Stierkalb,2017-01-06,120.1322.1520.1,71
640 - SPG Stierkalb,2017-01-06,120.1297.7634.0,71
640 - SPG Stierkalb,2017-01-06,120.1317.4198.5,71
640 - SPG Stierkalb,2017-01-06,120.1312.7676.0,71
650 - SPG Kuhkalb,2017-01-06,120.1284.0202.8,71
650 - SPG Kuhkalb,2017-01-06,120.1297.7628.9,71
650 - SPG Kuhkalb,2017-01-06,120.1250.9981.8,71
650 - SPG Kuhkalb,2017-01-06,120.1232.3432.7,71
640 - SPG Stierkalb,2017-01-06,120.1199.4422.3,72
640 - SPG Stierkalb,2017-01-06,120.1305.0693.6,72
640 - SPG Stierkalb,2017-01-06,120.1312.7216.8,72
640 - SPG Stierkalb,2017-01-06,120.1263.4978.3,72
650 - SPG Kuhkalb,2017-01-06,120.1297.7633.3,72
650 - SPG Kuhkalb,2017-01-06,120.1293.8806.2,72
650 - SPG Kuhkalb,2017-01-06,120.1263.6032.0,72
650 - SPG Kuhkalb,2017-01-06,120.1331.7873.4,73
650 - SPG Kuhkalb,2017-01-06,120.1277.6516.2,73
640 - SPG Stierkalb,2017-01-06,120.1317.9360.1,74
640 - SPG Stierkalb,2017-01-06,120.1225.7497.4,74
650 - SPG Kuhkalb,2017-01-06,120.1246.5222.9,74
650 - SPG Kuhkalb,2017-01-06,120.1308.8149.1,74
650 - SPG Kuhkalb,2017-01-06,120.1308.1254.9,74
640 - SPG Stierkalb,2017-01-06,120.1306.3463.9,75
640 - SPG Stierkalb,2017-01-06,120.1297.3287.2,75
640 - SPG Stierkalb,2017-01-06,120.1265.2006.9,75
640 - SPG Stierkalb,2017-01-06,120.1166.5822.2,75
640 - SPG Stierkalb,2017-01-06,120.1300.2014.2,75
640 - SPG Stierkalb,2017-01-06,120.1267.3855.6,75
640 - SPG Stierkalb,2017-01-06,120.1297.7635.7,75
640 - SPG Stierkalb,2017-01-06,120.1147.0342.9,75
640 - SPG Stierkalb,2017-01-06,120.1294.9956.0,75
640 - SPG Stierkalb,2017-01-06,120.1286.2509.0,75
640 - SPG Stierkalb,2017-01-06,120.1306.0939.2,75
640 - SPG Stierkalb,2017-01-06,120.1295.6679.8,75
640 - SPG Stierkalb,2017-01-06,120.1290.3041.1,75
640 - SPG Stierkalb,2017-01-06,120.1269.5411.6,75
640 - SPG Stierkalb,2017-01-06,120.1268.7516.9,75
640 - SPG Stierkalb,2017-01-06,120.1298.7181.6,75
640 - SPG Stierkalb,2017-01-06,120.1267.3816.7,75
640 - SPG Stierkalb,2017-01-06,120.1326.9464.8,75
640 - SPG Stierkalb,2017-01-06,120.1317.4197.8,75
640 - SPG Stierkalb,2017-01-06,120.1321.5052.6,75
640 - SPG Stierkalb,2017-01-06,120.1293.6657.2,75
640 - SPG Stierkalb,2017-01-06,120.1211.0175.1,75
640 - SPG Stierkalb,2017-01-06,120.1322.1602.4,75
640 - SPG Stierkalb,2017-01-06,120.1246.5224.3,75
640 - SPG Stierkalb,2017-01-06,120.1238.7670.1,75
640 - SPG Stierkalb,2017-01-06,120.1307.6288.2,75
640 - SPG Stierkalb,2017-01-06,120.1250.7132.6,75
